location.length,location.shape.links,incidentDetails.id,incidentDetails.hrn,incidentDetails.originalId,incidentDetails.originalHrn,incidentDetails.startTime,incidentDetails.endTime,incidentDetails.entryTime,incidentDetails.roadClosed,incidentDetails.criticality,incidentDetails.type,incidentDetails.codes,incidentDetails.description.value,incidentDetails.description.language,incidentDetails.summary.value,incidentDetails.summary.language,incidentDetails.junctionTraversability,incidentDetails.vehicleRestrictions,incidentDetails.comment
41.0,"[{'points': [{'lat': 51.51744, 'lng': -0.10785}, {'lat': 51.51754, 'lng': -0.10781}, {'lat': 51.51759, 'lng': -0.10777}], 'length': 18.0}, {'points': [{'lat': 51.51759, 'lng': -0.10777}, {'lat': 51.51767, 'lng': -0.1077}, {'lat': 51.51777, 'lng': -0.10761}], 'length': 23.0}]",1183295346067664606,here:traffic:incident:1183295346067664606,1183295346067664606,here:traffic:incident:1183295346067664606,2024-10-19T07:00:00Z,2024-11-03T23:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
115.0,"[{'points': [{'lat': 51.51367, 'lng': -0.14882}, {'lat': 51.51334, 'lng': -0.14865}], 'length': 39.0}, {'points': [{'lat': 51.51334, 'lng': -0.14865}, {'lat': 51.51306, 'lng': -0.14852}], 'length': 32.0}, {'points': [{'lat': 51.51306, 'lng': -0.14852}, {'lat': 51.51268, 'lng': -0.14836}], 'length': 44.0}]",4359858071885239897,here:traffic:incident:4359858071885239897,4359858071885239897,here:traffic:incident:4359858071885239897,2024-06-03T23:00:00Z,2027-04-29T23:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 802]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
57.0,"[{'points': [{'lat': 51.51435, 'lng': -0.13686}, {'lat': 51.51482, 'lng': -0.13718}], 'length': 57.0}]",2211171662017733891,here:traffic:incident:2211171662017733891,2211171662017733891,here:traffic:incident:2211171662017733891,2024-08-18T23:00:00Z,2024-11-30T17:00:00Z,2024-10-24T15:54:37Z,False,low,construction,[701],Road construction,en-US,Road construction,en-US,,,
12.0,"[{'points': [{'lat': 51.51376, 'lng': -0.12332}, {'lat': 51.51383, 'lng': -0.12319}], 'length': 12.0}]",1551070251092760938,here:traffic:incident:1551070251092760938,1760477732195675370,here:traffic:incident:1760477732195675370,2024-10-23T22:55:28Z,2024-10-25T16:55:28Z,2024-10-24T17:00:27Z,True,critical,roadClosure,[401],At Covent Garden - Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
76.0,"[{'points': [{'lat': 51.51326, 'lng': -0.14747}, {'lat': 51.51306, 'lng': -0.14852}], 'length': 76.0}]",3511127021366007976,here:traffic:incident:3511127021366007976,3511127021366007976,here:traffic:incident:3511127021366007976,2023-11-24T12:09:38Z,2027-04-27T23:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
153.0,"[{'points': [{'lat': 51.51231, 'lng': -0.1445}, {'lat': 51.5119, 'lng': -0.14408}], 'length': 54.0}, {'points': [{'lat': 51.5119, 'lng': -0.14408}, {'lat': 51.51115, 'lng': -0.1433}], 'length': 99.0}]",2228928282628699985,here:traffic:incident:2228928282628699985,2228928282628699985,here:traffic:incident:2228928282628699985,2024-10-22T07:00:00Z,2024-10-24T22:59:59Z,2024-10-24T17:42:28Z,False,critical,construction,[701],At Soho - Road construction,en-US,Road construction,en-US,,,
92.0,"[{'points': [{'lat': 51.50772, 'lng': -0.14743}, {'lat': 51.50824, 'lng': -0.1464}], 'length': 92.0}]",4291676625352607575,here:traffic:incident:4291676625352607575,4291676625352607575,here:traffic:incident:4291676625352607575,2024-10-21T07:00:00Z,2024-10-24T22:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[401, 807]",Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
97.0,"[{'points': [{'lat': 51.50561, 'lng': -0.12677}, {'lat': 51.50572, 'lng': -0.12641}, {'lat': 51.5058, 'lng': -0.12608}, {'lat': 51.5059, 'lng': -0.12573}, {'lat': 51.50597, 'lng': -0.12549}], 'length': 97.0}]",4412030515409521269,here:traffic:incident:4412030515409521269,4412030515409521269,here:traffic:incident:4412030515409521269,2024-09-19T07:00:00Z,2024-11-02T18:00:00Z,2024-10-24T16:51:42Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
76.0,"[{'points': [{'lat': 51.51306, 'lng': -0.14852}, {'lat': 51.51326, 'lng': -0.14747}], 'length': 76.0}]",1785318500019990701,here:traffic:incident:1785318500019990701,1785318500019990701,here:traffic:incident:1785318500019990701,2023-11-24T12:09:38Z,2027-04-27T23:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
657.0,"[{'points': [{'lat': 51.50972, 'lng': -0.11858}, {'lat': 51.50959, 'lng': -0.11889}, {'lat': 51.50948, 'lng': -0.11915}, {'lat': 51.50937, 'lng': -0.11937}, {'lat': 51.50923, 'lng': -0.11963}, {'lat': 51.5091, 'lng': -0.11984}], 'length': 111.0}, {'points': [{'lat': 51.5091, 'lng': -0.11984}, {'lat': 51.50892, 'lng': -0.12011}, {'lat': 51.50873, 'lng': -0.12038}, {'lat': 51.50859, 'lng': -0.12056}], 'length': 75.0}, {'points': [{'lat': 51.50859, 'lng': -0.12056}, {'lat': 51.50838, 'lng': -0.12081}, {'lat': 51.50822, 'lng': -0.12098}], 'length': 50.0}, {'points': [{'lat': 51.50822, 'lng': -0.12098}, {'lat': 51.50801, 'lng': -0.12119}, {'lat': 51.50781, 'lng': -0.12136}], 'length': 53.0}, {'points': [{'lat': 51.50781, 'lng': -0.12136}, {'lat': 51.50775, 'lng': -0.12141}], 'length': 8.0}, {'points': [{'lat': 51.50775, 'lng': -0.12141}, {'lat': 51.50745, 'lng': -0.12165}], 'length': 37.0}, {'points': [{'lat': 51.50745, 'lng': -0.12165}, {'lat': 51.50736, 'lng': -0.12172}, {'lat': 51.50726, 'lng': -0.1218}, {'lat': 51.50724, 'lng': -0.12181}], 'length': 26.0}, {'points': [{'lat': 51.50724, 'lng': -0.12181}, {'lat': 51.50716, 'lng': -0.12188}], 'length': 10.0}, {'points': [{'lat': 51.50716, 'lng': -0.12188}, {'lat': 51.50707, 'lng': -0.12195}], 'length': 11.0}, {'points': [{'lat': 51.50707, 'lng': -0.12195}, {'lat': 51.507, 'lng': -0.12201}, {'lat': 51.50688, 'lng': -0.1221}], 'length': 24.0}, {'points': [{'lat': 51.50688, 'lng': -0.1221}, {'lat': 51.50681, 'lng': -0.12216}], 'length': 9.0}, {'points': [{'lat': 51.50681, 'lng': -0.12216}, {'lat': 51.50672, 'lng': -0.12222}], 'length': 11.0}, {'points': [{'lat': 51.50672, 'lng': -0.12222}, {'lat': 51.50666, 'lng': -0.12226}], 'length': 7.0}, {'points': [{'lat': 51.50666, 'lng': -0.12226}, {'lat': 51.50659, 'lng': -0.1223}], 'length': 8.0}, {'points': [{'lat': 51.50659, 'lng': -0.1223}, {'lat': 51.50647, 'lng': -0.12238}], 'length': 14.0}, {'points': [{'lat': 51.50647, 'lng': -0.12238}, {'lat': 51.50626, 'lng': -0.12251}], 'length': 25.0}, {'points': [{'lat': 51.50626, 'lng': -0.12251}, {'lat': 51.50609, 'lng': -0.12262}], 'length': 20.0}, {'points': [{'lat': 51.50609, 'lng': -0.12262}, {'lat': 51.50594, 'lng': -0.1227}], 'length': 18.0}, {'points': [{'lat': 51.50594, 'lng': -0.1227}, {'lat': 51.50582, 'lng': -0.12276}, {'lat': 51.50558, 'lng': -0.12286}], 'length': 42.0}, {'points': [{'lat': 51.50558, 'lng': -0.12286}, {'lat': 51.50484, 'lng': -0.1231}], 'length': 84.0}, {'points': [{'lat': 51.50484, 'lng': -0.1231}, {'lat': 51.50472, 'lng': -0.12314}], 'length': 14.0}]",2856121292546983431,here:traffic:incident:2856121292546983431,2856121292546983431,here:traffic:incident:2856121292546983431,2024-10-14T20:00:00Z,2024-11-04T23:59:00Z,2024-10-24T16:51:42Z,False,minor,construction,"[641, 806]",At Westminster Bridge - One lane closed,en-US,One lane closed,en-US,,,
